id,name,cityName,st_station,ed_station
900000069871,S1线,北京市,苹果园,石厂
110100023110,1号线八通线,北京市,古城,环球度假区
110100023098,2号线,北京市,积水潭,西直门
110100023076,4号线大兴线,北京市,天宫院,安河桥北
110100023100,5号线,北京市,宋家庄,天通苑北
110100023339,6号线,北京市,潞城,金安桥
110100023054,7号线,北京市,环球度假区,北京西站
110100023114,8号线,北京市,瀛海,朱辛庄
110100023116,9号线,北京市,郭公庄,国家图书馆
110100023282,10号线,北京市,巴沟,火器营
900000159716,11号线,北京市,金安桥,新首钢
110100033066,13号线,北京市,西直门,东直门
900000028907,14号线,北京市,善各庄,张郭庄
110100023070,15号线,北京市,俸伯,清华东路西口
900000062236,16号线,北京市,北安河,玉渊潭东门
900000099933,17号线,北京市,十里河,嘉会湖
900000079004,19号线,北京市,新宫,牡丹园
110100033086,八通线,北京市,四惠,环球度假区
110100023118,昌平线,北京市,昌平西山口,清河站
900000076659,大兴国际机场线,北京市,草桥,大兴机场
110100023092,房山线,北京市,阎村东,东管头南
110100023096,首都机场线,北京市,3号航站楼,北新桥
110100023060,西郊线,北京市,巴沟,香山
900000029622,燕房线,北京市,阎村东,燕山
110100023102,亦庄线,北京市,宋家庄,亦庄火车站
440300024063,1号线/罗宝线,深圳市,罗湖,机场东
440300024076,2号线/8号线,深圳市,赤湾,盐田路
440300024060,3号线/龙岗线,深圳市,福保,双龙
440300024074,4号线/龙华线,深圳市,福田口岸,牛湖
440300024058,5号线/环中线,深圳市,赤湾,黄贝岭
440300024046,6号线,深圳市,松岗,科学馆
440300024050,7号线/西丽线,深圳市,西丽湖,太安
440300024054,9号线/梅林线,深圳市,前湾,文锦
900000055265,10号线,深圳市,双拥街,福田口岸
440300024056,11号线/机场线,深圳市,碧头,福田
900000075925,20号线,深圳市,机场北,会展城
